,entry,ups,intracellular
0,sp|P05230|FGF1_HUMAN,0.6163529950380325,0.38364700496196746
1,sp|P09038|FGF2_HUMAN,0.06549309211110996,0.9345069078888899
2,sp|P01584|IL1B_HUMAN,0.597992326617241,0.402007673382759
3,sp|P01583|IL1A_HUMAN,0.6150483423471451,0.384951657652855
4,sp|P17931|LEG3_HUMAN,0.6179212152957917,0.38207878470420836
5,sp|P14174|MIF_HUMAN,0.5836048540472984,0.41639514595270155
6,sp|P26447|S10A4_HUMAN,0.6138439869880676,0.38615601301193236
7,sp|P09211|GSTP1_HUMAN,0.5983651161193848,0.40163488388061525
8,sp|Q06830|PRDX1_HUMAN,0.6176178276538848,0.3823821723461151
9,sp|Q14116|IL18_HUMAN,0.6139832681417465,0.38601673185825347
10,sp|P62805|H4_HUMAN,0.06549309211110996,0.9345069078888899
11,sp|P29034|S10A2_HUMAN,0.6139832681417465,0.38601673185825347
12,sp|P09382|LEG1_HUMAN,0.597992326617241,0.402007673382759
13,sp|P10599|THIO_HUMAN,0.6176178276538848,0.3823821723461151
14,sp|P26441|CNTF_HUMAN,0.5712023973464966,0.4287976026535033
15,sp|P19622|HME2_HUMAN,0.5258076122403145,0.47419238775968553
16,sp|Q16762|THTR_HUMAN,0.0656813056979172,0.9343186943020829
17,sp|P09429|HMGB1_HUMAN,0.4993161064316518,0.5006838935683481
